femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V va al punto d'incontro.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bere] Sono così felice di vederti.,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bevi] Sono felice che tu non abbia cambiato idea.,[Bere] Sono felice che tu non abbia cambiato idea.,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Vanno a sedersi al bar e bere qualcosa (come nel mod Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Aspetta Panam],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam arriva al punto d'incontro vicino al bar...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bere],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Bere] Allora, cosa fai in questi giorni?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Allora, cosa stai facendo in questi giorni?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Un dialogo, se fosse possibile portare V e Panam in un angolo discreto e chiedere a V di mostrarle l'impronta comportamentale di Aguilar...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V e Panam si baciano,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam beve diversi sorsi prima di rispondere. Poi quando parla si arrabbia sempre di più...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
E/O,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
